original	old	match_kind	name_usage	accepted_name_usage	parent_name_usage
Nassella trichotoma	:nassella-trichotoma	species match	https://id.biodiversity.org.au/instance/apni/557927	https://id.biodiversity.org.au/instance/apni/557927	https://id.biodiversity.org.au/instance/apni/647051
Notamacropus rufogriseus	:notamacropus-rufogriseus	species match	https://id.biodiversity.org.au/instance/afd/70821462	https://id.biodiversity.org.au/instance/afd/70821462	https://id.biodiversity.org.au/instance/afd/70821447
Nyctemera amicus	:nyctemera-amicus	species match	https://id.biodiversity.org.au/instance/afd/70857657	https://id.biodiversity.org.au/instance/afd/70857657	https://id.biodiversity.org.au/instance/afd/70857656
Nycticorax caledonicus	:nycticorax-caledonicus	species match	https://id.biodiversity.org.au/instance/afd/70866183	https://id.biodiversity.org.au/instance/afd/70866183	https://id.biodiversity.org.au/instance/afd/70866182
Ocybadistes walkeri	:ocybadistes-walkeri	species match	https://id.biodiversity.org.au/instance/afd/70929000	https://id.biodiversity.org.au/instance/afd/70929000	https://id.biodiversity.org.au/instance/afd/70928622
Olearia argophylla	:olearia-argophylla	species match	https://id.biodiversity.org.au/instance/apni/51756099	https://id.biodiversity.org.au/instance/apni/750654	https://id.biodiversity.org.au/instance/apni/51745637
Olearia lirata	:olearia-lirata	species match	https://id.biodiversity.org.au/instance/apni/781045	https://id.biodiversity.org.au/instance/apni/781045	https://id.biodiversity.org.au/instance/apni/51745637
Olearia phlogopappa subsp serrata	:olearia-phlogopappa-subsp-serrata	subspecies match	https://id.biodiversity.org.au/instance/apni/794411	https://id.biodiversity.org.au/instance/apni/794411	https://id.biodiversity.org.au/instance/apni/762798
Orobanche minor	:orobanche-minor	species match	https://id.biodiversity.org.au/instance/apni/645214	https://id.biodiversity.org.au/instance/apni/645214	https://id.biodiversity.org.au/instance/apni/584302
Oryctolagus cuniculus	:oryctolagus-cuniculus	species match	https://id.biodiversity.org.au/instance/afd/70793532	https://id.biodiversity.org.au/instance/afd/70793532	https://id.biodiversity.org.au/instance/afd/70793531
