Feature,Geometry
316,POINT (149.15363 -35.274162)
317,POINT (149.1652835 -35.3158202)
318,POINT (149.0218506 -35.27647923)
319,POINT (149.0902636 -35.32767218)
320,POINT (149.0442138 -35.30576372)
321,POINT (149.1588944 -35.16193139)
322,POINT (149.1701304 -35.26142329)
323,POINT (149.1015184 -35.46469404)
324,POINT (148.8117587 -35.41737629)
325,POINT (149.093731 -35.171504)
326,POINT (149.160183 -35.315032)
327,POINT (149.0736056 -35.26792226)
328,POINT (149.2754813 -35.33220988)
329,POINT (149.1331025 -35.37762211)
330,POINT (149.0377126 -35.26519524)
331,POINT (149.1552294 -35.78126969)
332,POINT (149.001177 -35.788776)
333,POINT (148.8973025 -35.48279511)
334,POINT (149.2075503 -35.41521988)
335,POINT (149.1649097 -35.3462393)
336,POINT (149.1731244 -35.2514013)
337,POINT (148.9954132 -35.80457418)
338,POINT (148.966334 -35.461769)
339,POINT (149.0027065 -35.74107418)
340,POINT (149.1153839 -35.36655001)
341,POINT (149.0264357 -35.35706126)
342,POINT (149.0556726 -35.53132012)
343,POINT (149.160485 -35.317432)
344,POINT (149.096833 -35.225868)
345,POINT (149.0412627 -35.20970036)
346,POINT (148.9438006 -35.35651685)
347,POINT (149.1066027 -35.26519005)
348,POINT (149.0866324 -35.74568649)
349,POINT (148.908519 -35.46340428)
350,POINT (149.0408757 -35.18538538)
351,POINT (149.1997644 -35.28329987)
352,POINT (148.8125975 -35.29989844)
353,POINT (149.338894 -35.60554302)
354,POINT (148.8190156 -35.53425211)
355,POINT (148.977253 -35.570719)
356,POINT (149.174149 -35.229924)
357,POINT (149.1085445 -35.26483528)
358,POINT (149.1310314 -35.40827107)
359,POINT (149.1277149 -35.39190161)
360,POINT (149.1086777 -35.25985951)
361,POINT (148.7906856 -35.65941214)
362,POINT (148.983222 -35.739337)
363,POINT (149.0691715 -35.52678512)
364,POINT (149.1351373 -35.35881189)
365,POINT (149.0319777 -35.25177926)
366,POINT (149.1647084 -35.2572013)
367,POINT (149.148678 -35.356118)
368,POINT (149.2737983 -35.26367015)
369,POINT (149.1265063 -35.23173767)
